productcategory_id,material_id,outer_diameter,height,weight,heattreatmentcategory_id,heattreatment_temperatures,forming_temperatures,dimension,input_weight,workplace_id,product_id,mes_datetime,value
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:56:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:57:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:58:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 14:59:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:00:00,51.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:01:00,66.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:12:00,66.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:13:00,66.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:14:00,66.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:15:00,66.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:16:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:17:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:18:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:19:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:20:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:21:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:22:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:23:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:24:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:25:00,75.0
S6,1.4021,399.0,30.0,511980186835613.0,1.0,,,,0.0,50513.0,28.0,2012-08-27 15:26:00,75.0
